2022-03-01	Other_Post-Employment_Benefits_Board_Mee	minutes	https://legistar.granicus.com/FortLauderdale/meetings/2022/3/1853_M_Other_Post-Employment_Benefits_Board_Meeting_22-03-01_Action_Summary.pdf
2022-03-15	City_Commission_Regular_Meeting	agenda	https://legistar.granicus.com/FortLauderdale/meetings/2022/3/1801_A_City_Commission_Regular_Meeting_22-03-15_Regular_Agenda.pdf
2022-03-15	City_Commission_Regular_Meeting	minutes	https://legistar.granicus.com/FortLauderdale/meetings/2022/3/1801_M_City_Commission_Regular_Meeting_22-03-15_Action_Summary.pdf
2022-03-15	City_Commission_Conference_Meeting	agenda	https://legistar.granicus.com/FortLauderdale/meetings/2022/3/1802_A_City_Commission_Conference_Meeting_22-03-15_Conference_Meeting.pdf
2022-03-15	CITY_COMMISSION_WORKSHOP	agenda	https://legistar.granicus.com/FortLauderdale/meetings/2022/3/1847_A_CITY_COMMISSION_WORKSHOP_22-03-15_Conference_Meeting.pdf
2022-03-15	COMMUNITY_REDEVELOPMENT_AGENCY_BOARD	agenda	https://legistar.granicus.com/FortLauderdale/meetings/2022/3/1857_A_COMMUNITY_REDEVELOPMENT_AGENCY_BOARD_22-03-15_CRA_Agenda.pdf
2022-03-15	COMMUNITY_REDEVELOPMENT_AGENCY_BOARD	minutes	https://legistar.granicus.com/FortLauderdale/meetings/2022/3/1857_M_COMMUNITY_REDEVELOPMENT_AGENCY_BOARD_22-03-15_Action_Summary.pdf
2022-04-05	City_Commission_Regular_Meeting	agenda	https://legistar.granicus.com/FortLauderdale/meetings/2022/4/1803_A_City_Commission_Regular_Meeting_22-04-05_Regular_Agenda.pdf
2022-04-05	City_Commission_Regular_Meeting	minutes	https://legistar.granicus.com/FortLauderdale/meetings/2022/4/1803_M_City_Commission_Regular_Meeting_22-04-05_Action_Summary.pdf
2022-04-05	City_Commission_Conference_Meeting	agenda	https://legistar.granicus.com/FortLauderdale/meetings/2022/4/1804_A_City_Commission_Conference_Meeting_22-04-05_Conference_Meeting.pdf
2022-04-05	CITY_COMMISSION_WORKSHOP	agenda	https://legistar.granicus.com/FortLauderdale/meetings/2022/4/1848_A_CITY_COMMISSION_WORKSHOP_22-04-05_Conference_Meeting.pdf
2022-04-05	COMMUNITY_REDEVELOPMENT_AGENCY_BOARD	agenda	https://legistar.granicus.com/FortLauderdale/meetings/2022/4/1859_A_COMMUNITY_REDEVELOPMENT_AGENCY_BOARD_22-04-05_CRA_Agenda.pdf
2022-04-05	COMMUNITY_REDEVELOPMENT_AGENCY_BOARD	minutes	https://legistar.granicus.com/FortLauderdale/meetings/2022/4/1859_M_COMMUNITY_REDEVELOPMENT_AGENCY_BOARD_22-04-05_Action_Summary.pdf
2022-04-12	CITY_COMMISSION_-_SPECIAL_MEETING	agenda	https://legistar.granicus.com/FortLauderdale/meetings/2022/4/1860_A_CITY_COMMISSION_-_SPECIAL_MEETING_22-04-12_Regular_Agenda.pdf
2022-04-12	CITY_COMMISSION_-_SPECIAL_MEETING	minutes	https://legistar.granicus.com/FortLauderdale/meetings/2022/4/1860_M_CITY_COMMISSION_-_SPECIAL_MEETING_22-04-12_Action_Summary.pdf
2022-04-19	City_Commission_Regular_Meeting	agenda	https://legistar.granicus.com/FortLauderdale/meetings/2022/4/1805_A_City_Commission_Regular_Meeting_22-04-19_Regular_Agenda.pdf
2022-04-19	City_Commission_Regular_Meeting	minutes	https://legistar.granicus.com/FortLauderdale/meetings/2022/4/1805_M_City_Commission_Regular_Meeting_22-04-19_Action_Summary.pdf
